assignment_id,user_id,experiment_id,variant,assignment_date
89,26,1,treatment,2024-02-05
90,27,4,treatment,2024-01-13
91,27,3,treatment,2024-01-13
92,27,5,control,2024-01-13
93,27,1,treatment,2024-01-13
94,28,2,control,2024-02-15
95,28,1,control,2024-02-15
96,28,5,control,2024-02-15
97,28,4,control,2024-02-15
98,29,3,treatment,2024-02-11
99,29,4,control,2024-02-11
100,29,5,control,2024-02-11
101,29,1,control,2024-02-11
102,30,3,control,2024-02-14
103,30,2,treatment,2024-02-14
104,30,5,treatment,2024-02-14
105,30,1,control,2024-02-14
106,31,5,control,2024-02-04
107,31,2,treatment,2024-02-04
108,31,1,treatment,2024-02-04
109,32,5,treatment,2024-01-27
110,32,2,treatment,2024-01-27
111,32,1,treatment,2024-01-27
112,32,3,control,2024-01-27
113,33,5,treatment,2024-01-15
114,33,4,treatment,2024-01-15
115,33,3,treatment,2024-01-15
116,33,1,control,2024-01-15
117,34,4,control,2024-01-29
118,34,3,control,2024-01-29
119,34,2,treatment,2024-01-29
120,35,3,treatment,2024-02-07
121,35,2,control,2024-02-07
122,35,1,treatment,2024-02-07
123,35,4,treatment,2024-02-07
124,36,1,control,2024-01-18
125,36,3,control,2024-01-18
126,36,4,treatment,2024-01-18
127,36,5,treatment,2024-01-18
128,37,5,treatment,2024-02-21
129,37,4,treatment,2024-02-21
130,37,2,control,2024-02-21
131,37,1,control,2024-02-21
132,38,4,control,2024-02-25
133,38,5,control,2024-02-25
134,38,3,treatment,2024-02-25
135,38,1,control,2024-02-25
136,39,4,control,2024-01-01
137,39,1,control,2024-01-01
138,39,2,treatment,2024-01-01
139,40,1,treatment,2024-02-18
140,40,2,treatment,2024-02-18
141,40,3,control,2024-02-18
142,41,2,control,2024-02-21
143,41,5,treatment,2024-02-21
144,41,4,treatment,2024-02-21
145,42,1,control,2024-01-11
146,42,4,treatment,2024-01-11
147,42,2,control,2024-01-11
148,43,5,control,2024-02-14
149,43,4,treatment,2024-02-14
150,43,1,control,2024-02-14
151,44,4,treatment,2024-01-28
152,44,1,treatment,2024-01-28
153,44,2,treatment,2024-01-28
154,44,5,control,2024-01-28
155,45,3,treatment,2024-01-22
156,45,5,treatment,2024-01-22
157,45,4,treatment,2024-01-22
158,45,2,treatment,2024-01-22
159,46,5,treatment,2024-01-18
160,46,2,control,2024-01-18
161,46,1,treatment,2024-01-18
162,46,4,control,2024-01-18
163,47,5,treatment,2024-01-10
164,47,3,treatment,2024-01-10
165,47,4,treatment,2024-01-10
166,48,4,treatment,2024-01-14
167,48,5,treatment,2024-01-14
168,48,1,treatment,2024-01-14
169,48,2,control,2024-01-14
170,49,2,control,2024-02-18
171,49,4,treatment,2024-02-18
172,49,1,control,2024-02-18
173,50,4,treatment,2024-01-22
174,50,2,control,2024-01-22
175,50,1,treatment,2024-01-22
176,50,5,treatment,2024-01-22
177,51,1,control,2024-01-07
178,51,3,control,2024-01-07
179,51,4,treatment,2024-01-07
180,52,2,treatment,2024-01-06
181,52,1,control,2024-01-06
182,52,3,control,2024-01-06
183,53,3,treatment,2024-01-25
184,53,1,treatment,2024-01-25
185,53,4,control,2024-01-25
186,53,2,control,2024-01-25
187,54,1,treatment,2024-01-07
188,54,3,treatment,2024-01-07
189,54,4,treatment,2024-01-07
190,55,3,control,2024-01-23
191,55,1,control,2024-01-23
192,55,4,treatment,2024-01-23
193,56,3,control,2024-02-24
194,56,4,control,2024-02-24
195,56,5,treatment,2024-02-24
196,56,2,control,2024-02-24
197,57,5,treatment,2024-01-23
198,57,4,treatment,2024-01-23
199,57,2,control,2024-01-23
200,57,1,treatment,2024-01-23
201,58,5,treatment,2024-02-08
202,58,2,control,2024-02-08
203,58,1,treatment,2024-02-08
204,59,3,control,2024-01-17
205,59,2,control,2024-01-17
206,59,4,control,2024-01-17
207,60,2,treatment,2024-02-21
208,60,4,treatment,2024-02-21
209,60,5,control,2024-02-21
210,61,5,treatment,2024-01-03
211,61,4,control,2024-01-03
212,61,1,control,2024-01-03
213,61,3,control,2024-01-03
214,62,2,control,2024-02-16
215,62,5,treatment,2024-02-16
216,62,1,treatment,2024-02-16
217,63,2,treatment,2024-01-30
218,63,5,control,2024-01-30
219,63,4,control,2024-01-30
220,64,3,treatment,2024-02-04
221,64,1,control,2024-02-04
222,64,4,control,2024-02-04
223,65,5,control,2024-01-08
224,65,4,control,2024-01-08
225,65,2,treatment,2024-01-08
226,66,3,control,2024-02-29
227,66,5,treatment,2024-02-29
228,66,4,control,2024-02-29
229,66,1,control,2024-02-29
230,67,5,treatment,2024-01-25
231,67,4,treatment,2024-01-25
232,67,2,treatment,2024-01-25
233,68,4,control,2024-01-06
234,68,3,control,2024-01-06
235,68,2,treatment,2024-01-06
236,68,5,treatment,2024-01-06
237,69,5,control,2024-02-05
238,69,2,control,2024-02-05
239,69,1,control,2024-02-05
240,70,2,treatment,2024-01-19
241,70,4,treatment,2024-01-19
242,70,3,treatment,2024-01-19
243,70,5,treatment,2024-01-19
244,71,3,treatment,2024-02-23
245,71,1,treatment,2024-02-23
246,71,5,control,2024-02-23
247,71,2,control,2024-02-23
248,72,2,treatment,2024-02-10
249,72,1,control,2024-02-10
250,72,5,treatment,2024-02-10
251,72,3,control,2024-02-10
252,73,4,control,2024-02-09
253,73,2,control,2024-02-09
254,73,3,control,2024-02-09
255,73,1,control,2024-02-09
256,74,3,control,2024-02-26
257,74,2,control,2024-02-26
258,74,5,control,2024-02-26
259,74,1,treatment,2024-02-26
260,75,4,control,2024-02-25
261,75,3,control,2024-02-25
262,75,5,treatment,2024-02-25
263,76,1,treatment,2024-01-24
264,76,3,control,2024-01-24
265,76,2,control,2024-01-24
266,77,3,treatment,2024-02-06
267,77,5,control,2024-02-06
268,77,4,treatment,2024-02-06
269,78,5,control,2024-01-13
270,78,3,treatment,2024-01-13
271,78,1,treatment,2024-01-13
272,79,4,control,2024-02-15
273,79,5,control,2024-02-15
274,79,1,control,2024-02-15
275,79,2,treatment,2024-02-15
276,80,1,treatment,2024-01-05
277,80,5,control,2024-01-05
278,80,3,control,2024-01-05
279,80,2,treatment,2024-01-05
280,81,4,control,2024-01-03
281,81,2,control,2024-01-03
282,81,5,treatment,2024-01-03
283,81,1,treatment,2024-01-03
284,82,3,treatment,2024-02-12
285,82,1,control,2024-02-12
286,82,5,control,2024-02-12
287,83,2,treatment,2024-01-15
288,83,5,control,2024-01-15
289,83,1,control,2024-01-15
290,84,1,treatment,2024-02-19
291,84,5,treatment,2024-02-19
292,84,2,treatment,2024-02-19
293,84,4,control,2024-02-19
294,85,1,treatment,2024-01-19
295,85,3,treatment,2024-01-19
296,85,5,control,2024-01-19
297,85,4,control,2024-01-19
298,86,3,treatment,2024-01-06
299,86,2,control,2024-01-06
300,86,5,control,2024-01-06
301,86,4,control,2024-01-06
302,87,4,treatment,2024-02-24
303,87,5,control,2024-02-24
304,87,3,control,2024-02-24
305,88,1,control,2024-01-15
306,88,2,treatment,2024-01-15
307,88,3,treatment,2024-01-15
308,89,3,control,2024-02-25
309,89,1,treatment,2024-02-25
310,89,4,treatment,2024-02-25
311,90,1,treatment,2024-01-07
312,90,3,control,2024-01-07
313,90,4,control,2024-01-07
314,90,5,treatment,2024-01-07
315,91,2,control,2024-01-25
316,91,1,treatment,2024-01-25
317,91,5,treatment,2024-01-25
318,91,3,treatment,2024-01-25
319,92,1,control,2024-01-18
320,92,3,control,2024-01-18
321,92,2,control,2024-01-18
322,92,5,treatment,2024-01-18
323,93,1,treatment,2024-01-30
324,93,5,control,2024-01-30
325,93,4,treatment,2024-01-30
326,93,3,control,2024-01-30
327,94,2,control,2024-02-10
328,94,3,control,2024-02-10
329,94,4,treatment,2024-02-10
330,95,2,treatment,2024-02-23
331,95,1,control,2024-02-23
332,95,4,control,2024-02-23
333,96,4,control,2024-01-24
334,96,1,treatment,2024-01-24
335,96,3,control,2024-01-24
336,96,5,control,2024-01-24
337,97,2,control,2024-01-11
338,97,5,treatment,2024-01-11
339,97,4,control,2024-01-11
340,97,1,treatment,2024-01-11
341,98,3,control,2024-01-24
342,98,2,treatment,2024-01-24
343,98,4,treatment,2024-01-24
344,98,1,treatment,2024-01-24
345,99,4,control,2024-01-23
346,99,2,control,2024-01-23
347,99,1,control,2024-01-23
348,99,5,control,2024-01-23
349,100,2,treatment,2024-01-14
350,100,3,control,2024-01-14
351,100,5,treatment,2024-01-14
352,101,3,treatment,2024-02-12
353,101,1,treatment,2024-02-12
354,101,2,control,2024-02-12
355,101,5,control,2024-02-12
356,102,3,control,2024-01-18
357,102,4,treatment,2024-01-18
358,102,5,treatment,2024-01-18
359,102,1,control,2024-01-18
360,103,5,treatment,2024-02-14
361,103,4,control,2024-02-14
362,103,1,treatment,2024-02-14
363,104,4,treatment,2024-02-29
364,104,3,control,2024-02-29
365,104,5,treatment,2024-02-29
366,105,2,treatment,2024-02-13
367,105,3,treatment,2024-02-13
368,105,4,control,2024-02-13
369,105,5,treatment,2024-02-13
370,106,5,control,2024-02-11
371,106,2,treatment,2024-02-11
372,106,4,control,2024-02-11
373,107,4,treatment,2024-01-05
374,107,3,treatment,2024-01-05
375,107,1,control,2024-01-05
376,108,5,treatment,2024-02-08
377,108,2,control,2024-02-08
378,108,4,control,2024-02-08
379,109,4,control,2024-02-10
380,109,3,treatment,2024-02-10
381,109,2,control,2024-02-10
382,110,5,treatment,2024-01-11
383,110,1,control,2024-01-11
384,110,2,treatment,2024-01-11
385,110,4,treatment,2024-01-11
386,111,1,control,2024-02-04
387,111,2,treatment,2024-02-04
388,111,4,control,2024-02-04
389,111,3,treatment,2024-02-04
390,112,3,control,2024-02-16
391,112,1,control,2024-02-16
392,112,4,treatment,2024-02-16
393,112,2,treatment,2024-02-16
394,113,2,treatment,2024-01-16
395,113,4,control,2024-01-16
396,113,3,control,2024-01-16
397,113,1,treatment,2024-01-16
398,114,4,treatment,2024-01-11
399,114,5,control,2024-01-11
400,114,3,control,2024-01-11
401,115,4,treatment,2024-01-30
402,115,5,treatment,2024-01-30
403,115,1,control,2024-01-30
404,115,2,treatment,2024-01-30
405,116,5,control,2024-01-25
406,116,3,treatment,2024-01-25
407,116,2,control,2024-01-25
408,116,4,treatment,2024-01-25
409,117,1,treatment,2024-01-18
410,117,2,control,2024-01-18
411,117,3,treatment,2024-01-18
412,117,5,control,2024-01-18
413,118,4,control,2024-02-29
414,118,3,control,2024-02-29
415,118,5,treatment,2024-02-29
416,118,2,treatment,2024-02-29
417,119,2,treatment,2024-02-10
418,119,5,treatment,2024-02-10
419,119,4,control,2024-02-10
420,120,5,control,2024-02-14
421,120,2,treatment,2024-02-14
422,120,1,control,2024-02-14
423,121,1,treatment,2024-02-05
424,121,5,treatment,2024-02-05
425,121,2,treatment,2024-02-05
426,121,4,control,2024-02-05
427,122,4,control,2024-01-15
428,122,5,treatment,2024-01-15
429,122,1,control,2024-01-15
430,122,2,control,2024-01-15
431,123,2,control,2024-02-13
432,123,5,treatment,2024-02-13
433,123,1,treatment,2024-02-13
434,124,3,control,2024-01-21
435,124,1,control,2024-01-21
436,124,4,control,2024-01-21
437,124,5,control,2024-01-21
438,125,4,control,2024-02-23
439,125,1,treatment,2024-02-23
440,125,3,treatment,2024-02-23
441,126,2,treatment,2024-02-19
442,126,3,treatment,2024-02-19
443,126,1,treatment,2024-02-19
444,127,2,control,2024-02-19
445,127,3,control,2024-02-19
446,127,1,control,2024-02-19
447,127,5,treatment,2024-02-19
448,128,2,control,2024-01-04
449,128,4,treatment,2024-01-04
450,128,3,treatment,2024-01-04
451,128,5,treatment,2024-01-04
452,129,2,control,2024-01-15
453,129,1,treatment,2024-01-15
454,129,5,control,2024-01-15
455,129,4,control,2024-01-15
456,130,2,control,2024-02-22
457,130,4,treatment,2024-02-22
458,130,5,treatment,2024-02-22
459,130,3,treatment,2024-02-22
460,131,5,treatment,2024-01-03
461,131,4,treatment,2024-01-03
462,131,3,control,2024-01-03
463,131,1,treatment,2024-01-03
464,132,4,control,2024-02-21
465,132,1,control,2024-02-21
466,132,5,control,2024-02-21
467,132,3,treatment,2024-02-21
468,133,3,treatment,2024-01-21
469,133,5,treatment,2024-01-21
470,133,2,control,2024-01-21
471,134,5,treatment,2024-01-26
472,134,4,treatment,2024-01-26
473,134,1,treatment,2024-01-26
474,135,2,control,2024-01-18
475,135,4,control,2024-01-18
476,135,1,control,2024-01-18
477,136,2,treatment,2024-01-05
478,136,3,treatment,2024-01-05
479,136,5,treatment,2024-01-05
480,137,3,control,2024-01-14
481,137,4,control,2024-01-14
482,137,5,treatment,2024-01-14
483,138,4,control,2024-02-28
484,138,2,treatment,2024-02-28
485,138,5,treatment,2024-02-28
486,139,4,control,2024-03-01
487,139,5,control,2024-03-01
488,139,1,treatment,2024-03-01
489,139,2,control,2024-03-01
490,140,2,treatment,2024-02-06
491,140,5,treatment,2024-02-06
492,140,4,control,2024-02-06
493,140,1,treatment,2024-02-06
494,141,1,control,2024-02-26
495,141,3,control,2024-02-26
496,141,4,treatment,2024-02-26
497,141,5,control,2024-02-26
498,142,1,treatment,2024-02-15
499,142,2,treatment,2024-02-15
500,142,4,treatment,2024-02-15
501,142,5,control,2024-02-15
502,143,4,treatment,2024-01-21
503,143,1,control,2024-01-21
504,143,2,treatment,2024-01-21
505,143,3,treatment,2024-01-21
506,144,1,control,2024-01-14
507,144,3,control,2024-01-14
508,144,2,control,2024-01-14
509,144,4,treatment,2024-01-14
510,145,5,treatment,2024-02-11
511,145,4,treatment,2024-02-11
512,145,3,treatment,2024-02-11
513,146,4,treatment,2024-02-01
514,146,3,control,2024-02-01
515,146,5,treatment,2024-02-01
516,146,2,treatment,2024-02-01
517,147,2,control,2024-01-26
518,147,4,control,2024-01-26
519,147,3,treatment,2024-01-26
520,148,1,treatment,2024-02-26
521,148,2,treatment,2024-02-26
522,148,5,treatment,2024-02-26
523,148,4,control,2024-02-26
524,149,2,control,2024-02-28
525,149,4,treatment,2024-02-28
526,149,5,treatment,2024-02-28
527,149,1,control,2024-02-28
528,150,3,control,2024-02-11
529,150,1,control,2024-02-11
530,150,4,control,2024-02-11
531,150,2,treatment,2024-02-11
532,151,3,treatment,2024-01-30
533,151,1,treatment,2024-01-30
534,151,5,control,2024-01-30
535,151,2,control,2024-01-30
536,152,4,control,2024-01-10
537,152,3,control,2024-01-10
538,152,5,control,2024-01-10
539,152,2,treatment,2024-01-10
540,153,5,treatment,2024-01-17
541,153,3,control,2024-01-17
542,153,1,control,2024-01-17
543,154,3,control,2024-01-09
544,154,4,treatment,2024-01-09
545,154,1,treatment,2024-01-09
546,154,2,treatment,2024-01-09
547,155,3,treatment,2024-01-16
548,155,1,control,2024-01-16
549,155,5,control,2024-01-16
550,155,4,control,2024-01-16
551,156,1,control,2024-02-17
552,156,4,treatment,2024-02-17
553,156,5,control,2024-02-17
554,156,3,control,2024-02-17
555,157,5,treatment,2024-02-05
556,157,1,treatment,2024-02-05
557,157,4,control,2024-02-05
558,158,4,control,2024-02-04
559,158,5,control,2024-02-04
560,158,2,treatment,2024-02-04
561,159,4,control,2024-01-17
562,159,2,control,2024-01-17
563,159,3,treatment,2024-01-17
564,159,5,control,2024-01-17
565,160,1,control,2024-02-17
566,160,3,control,2024-02-17
567,160,2,control,2024-02-17
568,161,2,treatment,2024-02-07
569,161,1,treatment,2024-02-07
570,161,5,control,2024-02-07
571,162,3,treatment,2024-01-28
572,162,5,control,2024-01-28
573,162,2,control,2024-01-28
574,163,1,control,2024-02-27
575,163,2,treatment,2024-02-27
576,163,3,control,2024-02-27
577,163,4,treatment,2024-02-27
578,164,4,treatment,2024-02-07
579,164,1,control,2024-02-07
580,164,5,treatment,2024-02-07
581,165,3,treatment,2024-01-26
582,165,2,treatment,2024-01-26
583,165,5,treatment,2024-01-26
584,165,1,treatment,2024-01-26
585,166,5,treatment,2024-01-24
586,166,4,treatment,2024-01-24
587,166,1,control,2024-01-24
588,166,2,treatment,2024-01-24
589,167,2,control,2024-01-15
590,167,3,control,2024-01-15
591,167,4,treatment,2024-01-15
592,167,1,treatment,2024-01-15
593,168,2,control,2024-01-09
594,168,3,control,2024-01-09
595,168,5,control,2024-01-09
596,168,1,treatment,2024-01-09
597,169,2,control,2024-02-02
598,169,1,control,2024-02-02
599,169,5,treatment,2024-02-02
600,169,4,treatment,2024-02-02
601,170,3,treatment,2024-02-01
602,170,4,treatment,2024-02-01
603,170,5,control,2024-02-01
604,170,2,treatment,2024-02-01
605,171,2,treatment,2024-01-06
606,171,5,treatment,2024-01-06
607,171,1,treatment,2024-01-06
608,172,2,control,2024-02-18
609,172,1,treatment,2024-02-18
610,172,3,control,2024-02-18
611,172,5,control,2024-02-18
612,173,5,control,2024-01-04
613,173,4,treatment,2024-01-04
614,173,3,treatment,2024-01-04
615,173,2,control,2024-01-04
616,174,4,treatment,2024-02-25
617,174,1,control,2024-02-25
618,174,2,control,2024-02-25
619,174,3,treatment,2024-02-25
620,175,3,treatment,2024-01-08
621,175,4,treatment,2024-01-08
622,175,1,treatment,2024-01-08
623,175,2,control,2024-01-08
624,176,2,treatment,2024-01-10
625,176,5,treatment,2024-01-10
626,176,3,control,2024-01-10
627,176,4,treatment,2024-01-10
628,177,4,treatment,2024-02-10
629,177,1,treatment,2024-02-10
630,177,3,control,2024-02-10
631,177,5,control,2024-02-10
632,178,5,treatment,2024-01-11
633,178,3,treatment,2024-01-11
634,178,1,treatment,2024-01-11
635,178,4,control,2024-01-11
636,179,3,control,2024-02-20
637,179,5,treatment,2024-02-20
638,179,2,treatment,2024-02-20
639,179,4,treatment,2024-02-20
640,180,1,treatment,2024-02-13
641,180,2,treatment,2024-02-13
642,180,3,treatment,2024-02-13
643,180,5,control,2024-02-13
644,181,5,control,2024-01-28
645,181,4,control,2024-01-28
646,181,2,treatment,2024-01-28
647,181,1,control,2024-01-28
648,182,5,treatment,2024-02-08
649,182,4,control,2024-02-08
650,182,1,treatment,2024-02-08
651,182,2,control,2024-02-08
652,183,4,control,2024-01-05
653,183,1,treatment,2024-01-05
654,183,5,control,2024-01-05
655,184,2,treatment,2024-01-25
656,184,5,control,2024-01-25
657,184,1,control,2024-01-25
658,184,4,control,2024-01-25
659,185,2,treatment,2024-01-25
660,185,4,control,2024-01-25
661,185,3,treatment,2024-01-25
662,186,3,treatment,2024-02-08
663,186,2,treatment,2024-02-08
664,186,4,treatment,2024-02-08
665,186,5,control,2024-02-08
666,187,3,treatment,2024-01-30
667,187,1,treatment,2024-01-30
668,187,5,treatment,2024-01-30
669,187,2,control,2024-01-30
670,188,2,treatment,2024-02-03
671,188,4,treatment,2024-02-03
672,188,5,control,2024-02-03
673,188,3,control,2024-02-03
674,189,4,treatment,2024-01-17
675,189,2,treatment,2024-01-17
676,189,1,control,2024-01-17
677,189,5,treatment,2024-01-17
678,190,1,treatment,2024-02-05
679,190,3,control,2024-02-05
680,190,2,treatment,2024-02-05
681,190,5,control,2024-02-05
682,191,4,control,2024-02-25
683,191,5,control,2024-02-25
684,191,2,control,2024-02-25
685,192,2,treatment,2024-03-01
686,192,1,control,2024-03-01
687,192,3,treatment,2024-03-01
688,192,4,control,2024-03-01
689,193,5,control,2024-01-01
690,193,1,treatment,2024-01-01
691,193,3,treatment,2024-01-01
692,194,1,treatment,2024-02-13
693,194,3,treatment,2024-02-13
694,194,4,control,2024-02-13
695,194,5,control,2024-02-13
696,195,5,control,2024-02-16
697,195,4,treatment,2024-02-16
698,195,3,treatment,2024-02-16
699,196,3,control,2024-01-08
700,196,1,control,2024-01-08
701,196,5,treatment,2024-01-08
702,197,5,control,2024-02-13
703,197,2,control,2024-02-13
704,197,1,control,2024-02-13
705,197,4,treatment,2024-02-13
706,198,2,treatment,2024-02-26
707,198,5,treatment,2024-02-26
708,198,4,control,2024-02-26
709,198,1,control,2024-02-26
710,199,2,control,2024-02-04
711,199,3,treatment,2024-02-04
712,199,1,treatment,2024-02-04
713,199,4,control,2024-02-04
714,200,5,control,2024-02-18
715,200,4,treatment,2024-02-18
716,200,2,control,2024-02-18
717,201,5,control,2024-01-18
718,201,4,control,2024-01-18
719,201,1,treatment,2024-01-18
720,202,4,treatment,2024-02-19
721,202,1,control,2024-02-19
722,202,3,control,2024-02-19
723,203,2,control,2024-02-11
724,203,5,control,2024-02-11
725,203,4,treatment,2024-02-11
726,203,1,control,2024-02-11
727,204,1,control,2024-01-22
728,204,4,treatment,2024-01-22
729,204,3,control,2024-01-22
730,205,4,control,2024-01-08
731,205,1,control,2024-01-08
732,205,2,treatment,2024-01-08
733,205,3,control,2024-01-08
734,206,5,treatment,2024-01-19
735,206,1,control,2024-01-19
736,206,2,treatment,2024-01-19
737,207,1,control,2024-01-28
738,207,3,treatment,2024-01-28
739,207,2,treatment,2024-01-28
740,207,5,treatment,2024-01-28
741,208,4,control,2024-01-11
742,208,5,treatment,2024-01-11
743,208,2,control,2024-01-11
744,208,1,control,2024-01-11
745,209,2,treatment,2024-01-30
746,209,3,treatment,2024-01-30
747,209,4,control,2024-01-30
748,210,2,control,2024-01-01
749,210,3,treatment,2024-01-01
750,210,5,control,2024-01-01
751,211,2,control,2024-02-16
752,211,5,control,2024-02-16
753,211,4,treatment,2024-02-16
754,211,1,control,2024-02-16
755,212,1,control,2024-02-26
756,212,3,treatment,2024-02-26
757,212,4,treatment,2024-02-26
758,212,5,control,2024-02-26
759,213,4,control,2024-02-16
760,213,2,treatment,2024-02-16
761,213,5,treatment,2024-02-16
762,213,3,control,2024-02-16
763,214,4,treatment,2024-01-17
764,214,3,treatment,2024-01-17
765,214,2,treatment,2024-01-17
766,214,5,control,2024-01-17
767,215,5,control,2024-02-02
768,215,1,control,2024-02-02
769,215,4,treatment,2024-02-02
770,215,3,control,2024-02-02
771,216,1,treatment,2024-02-18
772,216,2,treatment,2024-02-18
773,216,4,treatment,2024-02-18
774,216,3,control,2024-02-18
775,217,3,treatment,2024-01-12
776,217,2,treatment,2024-01-12
777,217,5,treatment,2024-01-12
778,217,4,control,2024-01-12
779,218,4,treatment,2024-02-02
780,218,3,treatment,2024-02-02
781,218,1,treatment,2024-02-02
782,218,5,treatment,2024-02-02
783,219,5,control,2024-02-28
784,219,3,control,2024-02-28
785,219,2,treatment,2024-02-28
786,220,2,control,2024-01-07
787,220,1,control,2024-01-07
788,220,4,treatment,2024-01-07
789,220,5,control,2024-01-07
790,221,5,control,2024-02-25
791,221,1,control,2024-02-25
792,221,2,control,2024-02-25
793,222,5,treatment,2024-02-10
794,222,4,control,2024-02-10
795,222,2,treatment,2024-02-10
796,222,1,control,2024-02-10
797,223,2,treatment,2024-01-20
798,223,3,treatment,2024-01-20
799,223,4,treatment,2024-01-20
800,223,5,treatment,2024-01-20
801,224,4,treatment,2024-02-23
802,224,2,treatment,2024-02-23
803,224,3,treatment,2024-02-23
804,224,5,treatment,2024-02-23
805,225,4,control,2024-02-10
806,225,5,control,2024-02-10
807,225,1,control,2024-02-10
808,226,3,treatment,2024-02-02
809,226,2,control,2024-02-02
810,226,4,control,2024-02-02
811,227,2,treatment,2024-02-08
812,227,5,control,2024-02-08
813,227,4,treatment,2024-02-08
814,228,2,treatment,2024-01-13
815,228,3,treatment,2024-01-13
816,228,5,control,2024-01-13
817,229,5,control,2024-01-10
818,229,1,control,2024-01-10
819,229,3,control,2024-01-10
820,229,4,control,2024-01-10
821,230,3,treatment,2024-01-24
822,230,1,treatment,2024-01-24
823,230,2,treatment,2024-01-24
824,231,3,treatment,2024-02-18
825,231,1,control,2024-02-18
826,231,2,treatment,2024-02-18
827,232,1,treatment,2024-01-11
828,232,4,control,2024-01-11
829,232,3,control,2024-01-11
830,233,2,control,2024-02-04
831,233,3,treatment,2024-02-04
832,233,4,control,2024-02-04
833,234,2,treatment,2024-02-19
834,234,5,control,2024-02-19
835,234,3,control,2024-02-19
836,235,2,control,2024-02-29
837,235,1,treatment,2024-02-29
838,235,3,control,2024-02-29
839,235,5,treatment,2024-02-29
840,236,1,treatment,2024-02-03
841,236,2,control,2024-02-03
842,236,3,control,2024-02-03
843,236,5,treatment,2024-02-03
844,237,5,treatment,2024-02-28
845,237,3,control,2024-02-28
846,237,1,treatment,2024-02-28
847,238,2,control,2024-01-01
848,238,5,control,2024-01-01
849,238,3,control,2024-01-01
850,239,4,treatment,2024-02-08
851,239,1,control,2024-02-08
852,239,3,treatment,2024-02-08
853,239,5,control,2024-02-08
854,240,1,control,2024-01-21
855,240,2,treatment,2024-01-21
856,240,4,treatment,2024-01-21
857,240,5,control,2024-01-21
858,241,1,treatment,2024-02-01
859,241,4,treatment,2024-02-01
860,241,5,treatment,2024-02-01
861,241,3,treatment,2024-02-01
862,242,5,treatment,2024-01-02
863,242,4,treatment,2024-01-02
864,242,2,treatment,2024-01-02
865,243,5,control,2024-01-08
866,243,4,control,2024-01-08
867,243,1,control,2024-01-08
868,244,2,treatment,2024-02-29
869,244,4,control,2024-02-29
870,244,1,control,2024-02-29
871,244,5,treatment,2024-02-29
